Sample,TOC,Mg,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Ag,Cd,Sn,Sb,W,Hg,Pb,Bi,Th,U,LE,Al,Si,P,S,K,Ca,S% by weight
LCLD_53,2.17,19107.56,2146.37,108.88,0,484.9383333,31687.18833,0,39.60666667,27.62666667,49.95333333,0,0,16.55,208.1216667,6.433333333,49.92166667,4.015,0,0,0,0,0,0,0,1.165,0,0,0,860953.0367,9720.543333,46187.635,0,5444.103333,5077.545,24126.47833,0.544410333
LCLD_56,2.24,18106.52,2501.196667,26.81,0,484.4683333,33465.51167,0,37.18333333,29.35833333,55.84666667,0.811666667,0,16.56666667,218.8233333,6.92,51.50166667,8.59,0,0,0,0,0,0,0,1.125,0,0,0,848353.585,10675.34833,50707.19667,0,5561.133333,5303.435,25726.04833,0.556113333
LCLD_59,1.89,27617.92,2547.31,28.09666667,10.47666667,522.6866667,33997.095,0,40.44833333,27.11333333,51.01666667,0,0,15.37666667,224.1666667,7.366666667,51.94666667,3.553333333,0,0,0,0,0,0,0,1.061666667,1.383333333,0,0,835233.845,12292.275,58345.51333,0,5420.473333,5527.226667,26488.58,0.542047333
LCLD_62,1.69,29553.8,2983.49,56.7,0,555.8133333,36488.84167,0,48.68333333,31.63166667,54.28333333,0,0,14.645,238.3566667,7.463333333,52.315,3.355,0,0,0,0,0,0,0,0,0,0,0,792394.1283,16553.14167,78671.555,0,5604.316667,6233.036667,31601.305,0.560431667
SL_2,10.4,24640.36,51.18,0,0,167.976,4255.992,0,0,6.05,12.38,0,0,5.072,53.022,3.564,11.888,6.484,15.756,8.726,0,0,0,0,0,0,0,15.546,0,899944.958,0,6983.834,0,54659.652,1647.438,4443.694,5.4659652
SL_5,9.64,39265.96,303.04,0,0,302.9816667,7421.106667,0,0,1.873333333,21.49333333,0,0,7.03,93.39333333,4.811666667,19.98166667,1.113333333,17.375,8.425,4.346666667,0,0,0,0,0,0,4.615,1.263333333,875770.7433,0,9974.433333,0,61738.425,2159.68,7179.688333,6.1738425
SL_8,9.28,49660.56,314.2533333,0,0,309.6233333,7305.17,0,0,3.58,21.47166667,0,0,6.258333333,88.44333333,2.733333333,16.64833333,0,7.021666667,0,7.876666667,0,0,0,0,0,0,0,1.023333333,855465.1167,1588.853333,7844.966667,0,72522.255,2284.56,6206.856667,7.2522255
SL_11,9.74,48838.16,459.8416667,0,0,312.4083333,8130.818333,0,0,3.595,21.18,0,0,7.51,100.365,2.745,19.365,0,7.685,3.366666667,0,0,0,0,0,0,0,0,0,850236.3883,1364.82,9860.015,0,71177.87833,2405.103333,7731.283333,7.117787833
SL_14,8.12,53471.8,338.325,0,0,285.7883333,7455.148333,0,0,3.525,22.68,0,0,7.6,90.00166667,1.363333333,18.905,0,6.786666667,3.311666667,8.795,0,0,0,0,0,0,0,0,852777.9833,1484.75,6831.833333,0,73623.62,2129.393333,5494.091667,7.362362
SL_17,10.48,57255.78,202.7133333,0,0,271.0633333,6533.586667,0,0,2.155,20.46166667,0,0,7.398333333,78.87666667,2.723333333,19.25666667,0,8.406666667,3.538333333,3.861666667,0,0,0,0,0,0,0,0,854492.7933,0,5796.811667,0,74280.49167,2119.803333,5941.468333,7.428049167
SL_23,9.36,58974.64,308.3166667,0,0,315.7383333,6969.165,0,0,9.398333333,21.53166667,0,0,6.156666667,128.7283333,1.811666667,16.60833333,0,11.37333333,0,9.386666667,0,0,0,0,0,1.325,0,0,847885.0483,1409.03,9892.978333,0,71730.935,2471.686667,7880.251667,7.1730935
SL_25,9.77,50254.99,494.3266667,0,0,284.9566667,9479.393333,0,0,8.096666667,28.00333333,0,0,9.341666667,113.875,5.013333333,26.64333333,0,10.02,7.631666667,0,0,0,0,0,0,0,0,2.06,839574.0317,2378.893333,11313.54667,0,72569.72333,2488.941667,6663.981667,7.256972333
SL_26,7.93,52989.84,622.6183333,0,0,263.7816667,11468.275,0,0,8.938333333,33.885,0,0,11.045,110.6983333,5.273333333,29.51666667,0,13.51833333,0,0,0,0,0,0,0,0,0,1.128333333,840762.915,1673.216667,10000.64,0,74645.245,2594.563333,6208.226667,7.4645245
SL_29,7.38,39222.9,573.2333333,21.68,0,235.2733333,11214.96333,0,0,11.41666667,33.45666667,0,0,11.315,116.85,5.685,29.57833333,0,9.47,0,4.1,0,0,0,0,0,0,0,1.478333333,835142.7983,1642.136667,8693.426667,0,78277.06,2637.558333,5638.74,7.827706
SL_32,5.98,55211.12,704.045,0,0,227.5883333,11938.09667,0,0,11,33.38833333,0,0.42,11.56,114.4233333,5.625,29.115,0,8.91,3.606666667,3.875,0,0,0,0,0,0,0,0,833971.6767,1999.165,10869.705,0,78100.19667,2809.951667,6054.68,7.810019667
SL_35,6.61,52327.88,101.7833333,0,0,109.075,6264.27,0,0,4.078333333,24.74833333,0,0,10.15,106.265,5.311666667,29.79666667,0.93,0.83,0,4.001666667,0,0,0,0,0,0,0,0,842121.0117,0,3198.126667,0,89706.33333,2112.396667,1926.671667,8.970633333
SL_38,5.73,55113.22,236.2,0,0,153.7883333,8916.325,0,0,7.226666667,27.67,0,0,11.34,118.9083333,5.131666667,30.57833333,0,0,0,4.118333333,0,0,0,0,1.566666667,0,0,0,840606.4633,0,2985.721667,0,88664.01167,2179.838333,2725.853333,8.866401167
SL_42,5.73,50001.4,690.98,0,0,231.96,11818.42833,0,3.425,12.29,36.245,0,0,12.39333333,145.5483333,6.05,33.89833333,0,0,0,0,0,0,0,0,0,0,0,0,837904.2483,298.64,4885.908333,0,84327.595,2751.241667,5877.565,8.4327595
SL_44,4.8,55326.99,449.07,0,0,177.58,9724.12,0,0,8.081666667,30.17,0,0,11.305,144.5166667,6.111666667,31.29,0.976666667,0,0,3.993333333,0,0,0,0,0.98,0,0,0,835716.695,370.9533333,4979.905,0,86611.13667,2705.023333,5686.396667,8.661113667
SL_47,4.54,55979.25,596.39875,0,0,232.74375,11870.415,0,1.69,13.42375,36.49875,0,0.29875,12.63,137.83,5.81,34.38125,0,0,0,0,0,0,0,0,0.7525,0,0,0,832358.4438,1269.33625,7070.29625,0,82888.815,2933.985,7526.9325,8.2888815
SL_50,4.63,54808.53,560.7383333,0,0,232.3733333,12195.08833,0,0,12.835,41.725,0,0,13.56333333,112.4683333,6.821666667,36.25,0,0,0,3.858333333,0,0,0,0,0,1.221666667,0,0,843400.6917,344.3083333,5711.135,0,81483.51167,2705.881667,6247.963333,8.148351167
SL_53,4.18,48039.21,554.925,0,0,250.5416667,12572.78167,0,6.68,8.52,40.00833333,0,0.368333333,14.18,116.4433333,7.408333333,37.05,0,2.433333333,0,0,0,0,0,0,0.856666667,0,0,0,833504.925,715.2066667,8781.795,0,80133.68,2957.476667,7055.351667,8.013368
SL_56,4.38,48792.38,1020.971667,28.45666667,12.24,327.1333333,15520.11333,0,0,20.34833333,45.85333333,0.685,0,14.055,121.525,7.808333333,38.53166667,2.408333333,8.051666667,0,0,0,0,0,0,0.78,0,0,0,825529.7117,4560.813333,21259.51333,0,67105.91167,3796.37,13008.10167,6.710591167
SL_59,5.01,50368.6,1013.255,49.855,0,335.4616667,16280.80833,0,0,22.76166667,46.52666667,0.923333333,0,16.39333333,119.0433333,8.495,42.33166667,4.245,12.525,0,0,0,0,0,0,0,0,2.186666667,4.026666667,835289.6383,2886.151667,13796.86333,0,71342.005,3809.321667,11441.12333,7.1342005
SL_62,3.81,43150.44,1904.948333,120.185,0,462.59,22982.04,0,25.48166667,31.955,67.62333333,1.866666667,0,19.65166667,138.0266667,10.22666667,50.51333333,2.08,7.391666667,0,0,0,0,0,0,1.91,0,0,0,801296.6,7360.096667,34517.21333,0,59716.89,5396.343333,18298.20833,5.971689
SL_65,3.67,51288.29,2202.311667,132.1216667,9.811666667,494.4933333,25589.94333,0,28.86333333,36.16833333,69.91333333,3.748333333,0,20.28666667,142.6766667,10.37166667,53.555,3.651666667,1.855,0,0,0,0,0,0,1.211666667,0,0,0,777241.46,10621.235,47462.47333,0,54360.83167,6094.73,20796.94833,5.436083167
SL_68,3.02,55174.93,2394.033333,136.8166667,16.03,499.1166667,27813.84667,0,27.475,35.92833333,77.18,6.43,0,22.98333333,140.2533333,11.84666667,57.565,5.235,1.856666667,0,0,0,0,0,0,0.976666667,0,0,0,780910.0783,12541.72667,54846.425,0,51381.55167,6538.66,19014.73833,5.138155167
SL_74,1.99,47689.28,2861.716667,256.9083333,24.31666667,531.4533333,31683.635,0,33.325,44.53333333,86.635,6.453333333,0,24.43833333,140.6866667,12.42333333,62.78833333,6.155,0,0,0,0,0,0,0,1.301666667,0,0,0,756944.8067,17580.75,76430.12333,0,42604.81333,7772.695,21261.72667,4.260481333
SL_77,0.78,37556.42,3243.416667,289.135,26.26666667,524.655,35442.72333,0,40.29833333,47.60166667,92.69333333,5.815,0,27.33,143.9066667,14.66333333,71.765,7.626666667,0,0,0,0,0,0,0,2.583333333,1.278333333,0,0,738675.23,22506.12,94497.92,0,37120.78,8711.053333,21844.20333,3.712078
SL_80,0.75,32590.07,3469.126667,284.8433333,22.51,527.09,37127.18667,0,42.53333333,48.87,97.29833333,6.981666667,0,28.49666667,151.5083333,15.07833333,73.385,8.21,0,0,0,0,0,0,0,2.563333333,0,0,0,735245.1033,23151.97167,95820.33667,0,37824.09333,9044.626667,24399.93667,3.782409333
SL_83,0.71,31652.19,3387.335,261.4475,17.42,503.5025,37336.5575,0,42.1175,54.0725,97,7.5125,0,26.6425,148.8575,15.2175,72.3625,11.09,0,0,0,0,0,0,0,1.93,0,0,0,753323.0475,20678.5325,86954.2025,0,37286.5975,8592.5925,24385.345,3.72865975
BL2/3_4,16.97,,83.9675,0,0,103.5825,2843.4525,0,0,3.185,6.97,0,0,0,1151.3125,0.875,28.335,0,0,0,0,0,0,0,0,0,0,8.9975,3.7025,818691.07,0,7675.27,0,85758.0675,832.515,36903.1075,8.57580675
BL2/3_7,17.6,61803.34,0,0,0,117.955,3400.246667,0,0,2.16,12.725,0,0,0.566666667,1227.236667,0,27.84333333,0,0,0,0,0,0,0,0,0,0,11.435,4.401666667,791076.8083,0,8476.973333,0,92096.96167,770.7883333,40980.94,9.209696167
BL2/3_10,9.87,57353.34,0,0,0,144.1066667,3627.991667,0,0,1.978333333,15.03666667,0,0,0,1269.713333,0.951666667,30.01166667,0,0,0,0,0,0,0,0,0,0,9.641666667,13.93166667,812749.8817,0,7747.478333,0,90461.105,955.4766667,23592.91,9.0461105
BL2/3_13,20.36,,0,0,0,153.8,3378.991667,0,0,0,14.49166667,0,0,0.586666667,1489.498333,0,32.62166667,0,0,0,0,0,0,0,0,0,0,2.7,18.69666667,813433.9783,0,7079.995,0,88521.32833,1044.558333,21476.12333,8.852132833
BL2/3_16,16.92,,0,0,0,159.865,3015.733333,0,0,6.706666667,14.56,0,0,0.536666667,1544.768333,0,29.64833333,0,0,0,0,0,0,0,0,0,0,2.853333333,19.96666667,815398.4217,0,7650.418333,0,82305.01667,886.8233333,22881.39667,8.230501667
BL3_5,7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BL3_8,10.59,73712.81,198.0783333,0,0,202.2483333,4988.501667,0,0,7.41,20.05833333,0,0,0.628333333,1673.475,0.566666667,32.80166667,0,8.511666667,0,0,0,0,0,0,0,0,0,24.955,803252.615,3212.885,23706.72333,0,39603.47167,1341.286667,46546.40833,3.960347167
BL3_11,15.78,72749.09,172.3683333,0,0,226.2,4707.066667,0,0,5.88,16.96333333,0,0,0.58,1602.295,0.591666667,32.57333333,0,4.473333333,0,0,0,0,0,0,0,0,6.225,26.35333333,810675.4383,1799.773333,23283.54833,0,38803.81167,1360.493333,40633.37167,3.880381167
BL3_14,12.51,79005.42,153.0033333,0,0,205.2833333,4404.491667,0,0,4.201666667,18.06333333,0,0,0.721666667,1462.63,0.706666667,30.17833333,0,4.576666667,0,0,0,0,0,0,0,0,0,20.57666667,809922.5333,1952.918333,22511.13833,0,44760.67833,1499.616667,41937.68333,4.476067833
BL3_17,11.48,63853.39,52.52,0,0,204.72,3834.431667,0,0,1.931666667,15.76333333,0,0,0.51,1382.703333,0,25.90666667,0,4.211666667,4.5,0,0,0,0,0,0,0,0,21.73,816527.35,763.415,18371.33333,0,50532.60667,1555.691667,36919.30167,5.053260667
BL3_20,10.04,64257.34,0,0,0,201.8133333,4040.206667,0,0,3.936666667,16.33166667,0.61,0,0,1466.303333,0.545,27.89,0,0,0,0,0,0,0,0,0,0,0,25.47666667,825534.35,1316.683333,14626.195,0,54068.98,1859.41,25241.35167,5.406898
BL3_23,6.7,79027,62.78833333,0,0,192.325,3684.305,0,0,2.136666667,12.67833333,0.775,0,0,1583.386667,0,25.98166667,0,0,0,0,0,0,0,0,0,0,3.745,17.55,790403.495,392.75,14730.655,0,68979.72167,2140.496667,41339.255,6.897972167
BL3_26,11.43,73064.88,0,0,0,181.2866667,3489.205,0,0,0,12.705,0,0,0,1603.843333,0,27.51833333,0,0,0,4.42,0,0,0,0,0,0,0,20.69833333,811003.395,0,12315.63833,0,67343.16333,2149.421667,31604.78667,6.734316333
BL3_29,10.68,64366.47,47.66,0,0,170.0633333,3497.7,0,0,0,14.75,0,0,1.091666667,1525.336667,0,30.29166667,0,0,0,4.803333333,0,0,0,0,0,0,2.415,19.79166667,825166.7833,0,10542.4,0,68323.27,2177.74,26828.96167,6.832327
BL3_32,10.37,55101.38,43.20666667,0,0,202.4566667,3774.558333,0,0,0,15.345,0,0,0.575,1528.995,0,28.235,0,0,0,0,0,0,0,0,0,0,2.773333333,23.99166667,829564.9,419.235,12550.55833,0,60247.095,2082.543333,23773.61,6.0247095
BL3_35,14.78,73614.78,87.665,0,0,216.0183333,4476,0,0,1.986666667,16.92833333,0,0,1.285,1587.21,0,31.94833333,0,0,0,0,0,0,0,0,0,0,2.613333333,21.63666667,801718.63,2211.888333,18040.32333,0,56912.65,2026.67,35039.35333,5.691265
BL3_38,13.32,84499.72,42.29666667,0,0,225.3916667,4797.25,0,0,6.408333333,19.75166667,0,0,2.575,1429.583333,0.568333333,31.56166667,0,1.058333333,0,0,0,0,0,0,0,0,3.166666667,18.885,802150.0333,2681.851667,20392.415,0,54796.62333,2210.663333,32303.36667,5.479662333
BL3_41,9.79,71197.64,148.0733333,0,0,240.9333333,5421.803333,0,0,4.393333333,20.61666667,0,0,2.203333333,1384.286667,1.128333333,30.485,0,0,0,0,0,0,0,0,0,0,3.111666667,21.86666667,804946.2733,3404.46,22880.52833,0,53921.91167,2468.185,32121.48667,5.392191167
BL3_44,12.139,73274.81,263.6983333,0,0,231.61,5237.053333,0,0,3.741666667,17.875,0,0,4.731666667,1228.793333,1.108333333,31.75666667,0,0.791666667,0,0,0,0,0,0,0,0,0,18.87,813081.005,2836.785,21652.50833,0,56780.595,2743.686667,29414.28333,5.6780595
BL3_47,11.02,70971.98,131.6033333,0,0,222.7816667,5363.855,0,0,0,20.09166667,0,0.386666667,4.771666667,1184.181667,0.496666667,30.80166667,0,0,0,4.851666667,0,0,0,0,0,0,2.75,12.755,822727.4317,1468.998333,17608.72,0,58456.81,2512.2,30404.47167,5.845681
BL3_50,3.17,70976.41,0,0,0,203.11,3093.981667,0,0,0,11.41,0.646666667,0,0.551666667,1552.61,0,27.63166667,0,3.815,0,4.55,0,0,0,0,0,0,8.228333333,20.36666667,804212.6133,671.9166667,12870.99,0,55579.97833,1292.22,46179.085,5.557997833
LCLA _2.5,0.35,,0,0,0,0,2595.74,0,0,0,0,0,0,10.54,20.17,1.63,7.73,0,0,28.13,25.06,0,0,0,0,0,0,0,0,949320.64,5422.39,18653.67,0,6236.1,1711,4762.33,0.62361
LCLA _5.5,0.38,0,2620.06,95.64,32.48,289.7433333,21668.67833,0,19.75166667,6.181666667,26.42166667,0,0,17.24666667,297.06,11.11833333,105.855,8.55,0,4.008333333,4.571666667,0,0,0,0,0,0,1.483333333,0,897048.5983,8028.31,29017.43,0,9935.176667,3953.011667,18694.195,0.993517667
LCLA _8.5,0.47,18693.72,4155.066667,223.4283333,89.21166667,486.6683333,33545.375,0,40.57833333,12.395,45.445,0,0,18.09333333,384.8166667,12.84,77.42,13.51166667,0,0,0,0,0,0,0,0.961666667,0,0,0,832931.3533,10981.14167,50484.18,0,7749.551667,5550.606667,33809.6,0.774955167
LCLA _11.5,0.68,16034.06,3373.445,128.3516667,50.555,412.9633333,29349.505,0,37.63666667,13.31,41.88166667,0,0,18.11166667,366.1233333,10.89166667,73.81,10.20833333,0,0,0,0,0,0,0,0,0,0,0,878387.29,8432.091667,32980.765,0,9549.346667,4549.625,23921.96833,0.954934667
LCLA _14.5,0.7,0,3572.315,185.7916667,56.225,435.29,29929.28333,0,35.305,9.605,42.305,0,0,19.56,392.3,12.07833333,74.72666667,11.045,0,0,0,0,0,0,0,2.941666667,0,0,0,879499.6067,7922.156667,29741.23667,0,9217.763333,4423.055,24058.09667,0.921776333
LCLA _17.5,0.75,23361.73,3296.523333,143.2616667,76.65,423.0183333,29774.71167,0,36.49333333,16.07833333,43.78,0,0,20.14166667,396.1783333,12.11,77.595,11.11,0,0,0,0,0,0,0,0,0,0,0,874268.26,7236.808333,27759.46333,0,10189.20833,4545.775,22696.91,1.018920833
LCLA _20.5,0.32,0,3388.315,134.7166667,62.98,428.5583333,31010.55167,0,36.46166667,14.55666667,43.84,0.603333333,0,19.39833333,376.7383333,12.54833333,80.63,12.1,0,0,0,0,0,0,0,0.946666667,0,2.143333333,0,892264.375,6549.208333,27265.37333,0,7358.388333,5001.803333,23167.04,0.735838833
LCLA _24.5,0.37,15473.5,3381.613333,109.535,21.67833333,479.7183333,35542.77167,0,46.015,12.72666667,49.59166667,0,0,19.52333333,318.4416667,12.745,86.395,16.98833333,0,0,0,0,0,0,0,0,0,3.668333333,0,872488.4383,8327.341667,36992.42,0,7195.84,5782.886667,21740.435,0.719584
LCLA _27.5,0.45,0,3873.431667,166.5783333,63.42,507.58,37206.26667,0,49.20166667,14.765,53.405,0,0,18.62333333,353.5766667,12.56166667,87.525,13.48,0,0,0,0,0,0,0,0,0,0,0,868329.0333,9042.61,38681.97333,0,7408.53,6163.543333,22155.06833,0.740853
LCLB _6,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
LCLB _11,2.29,0,1870.42,23.715,9.411666667,412.9966667,27831.06333,0,33.26666667,21.55666667,47.58166667,0,0,16.315,205.8833333,6.58,45.745,2.113333333,0,0,0,0,0,0,0,0,0,0,0,879383.585,7959.326667,35184.82833,0,5988.516667,4649.025,21314.13167,0.598851667
LCLB _14,1.85,22618.12,1824.315,70.67666667,0,440.38,29669.06167,0,36.905,18.84166667,49.62833333,0,0,17.38833333,220.63,6.808333333,49.34166667,4.513333333,0,0,0,0,0,0,0,0,0,0,0,883891.4367,6661.64,32030.895,0,6498.645,4888.395,22334.35167,0.6498645
LCLB _17,1.77,21645.88,1067.893333,0,0,295.9233333,21320.71,0,23.495,13.08666667,35.09833333,0,0,15.65166667,192.0516667,6.61,45.36666667,6.055,0,0,0,0,0,0,0,0,0,0,0,922158.69,4857.178333,18374.74167,0,7455.68,3450.708333,12678.07667,0.745568
LCLB _20,1.83,0,1594.648333,0,0,374.78,25783.425,0,29.735,22.15666667,44.32333333,0,0,16.77,203.0666667,7.031666667,46.18333333,5.043333333,0,0,0,0,0,0,0,0,0,0,0,900063.1867,6615.608333,29028.82667,0,6376.766667,4144.936667,17631.33333,0.637676667
LCLB _23,1.51,0,1104.601667,1.13,0.35,258.6066667,20034.715,0.978333333,25.39,15.58,34.515,0.99,1.02,13.61333333,153.49,8.141666667,39.375,9.371666667,1.018333333,5.211666667,1.025,1.058333333,0,0,0,0,0,4.882,0,916870.044,5557.674,23468.456,0,6207.504,3676.08,14131.512,0.6207504
LCLB _30,1.38,28119.88,2196.666667,29.77,12.965,389.6966667,27569.53833,2.161666667,39.55,23.38666667,42.57833333,2.285,2.33,14.27833333,197.5116667,10.16,44.6,11.45666667,3.44,2.42,2.45,2.43,0,0,0,0,0,5.89,0,822171.465,13012.4825,61946.43,0,3506.015,5590.4175,32922.5525,0.3506015
LCLB _33,0.46,,1912.685,101.535,34.77666667,274.9316667,17721.84167,4.363333333,27.07666667,15.945,27.87666667,4.27,4.203333333,10.535,129.12,9.615,35.88333333,11.83,4.141666667,4.185,4.1,4.165,0,0,0,0,0,0,0,798565.15,14821.16,69585.55,0,4073.59,5199.66,36754.505,0.407359
LCLB _36,0.39,32847.07,3499.266667,141.885,33.56,344.4883333,26348.035,4.343333333,38.85166667,15.61833333,35.71166667,4.251666667,4.233333333,12.82333333,205.8366667,11.82166667,67.22,14.605,4.125,4.086666667,4.051666667,4.031666667,0,0,0,0,0,0,0,770998.9433,17236.60333,75264.64,0,8743.783333,5328.436667,41635.13667,0.874378333
LCLB _39,0.25,0,5866.703333,178.47,106.0733333,603.2066667,44873.69667,1.656666667,63.16166667,22.00833333,60.93666667,1.61,1.618333333,16.38,341.9416667,15.75833333,90.91833333,23.905,3.17,1.57,1.603333333,1.563333333,0,0,0,0,0,0,0,774893.086,17318.82,76791.208,0,7172.392,5435.396,41493.75,0.7172392
LCLC _12,2.85,0,1629.965,0,0,382.8625,26508.02,0,34.015,14.495,45.7175,0,0,15.55,188.91,5.275,41.4375,1.5575,0,0,0,0,0,0,0,1.4025,1.8625,0,0,899882.0325,6587.6375,29922.09,0,7034.8825,4193.9075,18476.18,0.70348825
LCLC _15,2.3,0,1103.996667,0,0,288.53,22529.63,0,24.76,15.635,38.03,0,0,15.98,180.445,5.985,40.81333333,0,0,0,0,0,0,0,0,1.926666667,1.336666667,0,0,918590.7617,5188.453333,21685.59833,0,8337.043333,3558.098333,13293.93667,0.833704333
LCLC_21,2.46,26409.41,1244.651667,0,0,341.6216667,24508.25667,0,30.235,18.72,46.35166667,0,0,15.77666667,171.675,3.86,38.375,1.926666667,0,0,9.228333333,0,0,0,0,0,1.183333333,0,0,903790.3833,5461.808333,21962.06167,0,8364.065,3668.313333,14285.67,0.8364065
LCLC _24,2.55,0,1278.481667,0,0,353.5333333,24380.99333,0,32.89,20.30166667,48.275,0,0,15.61833333,175.1883333,5.175,39.20333333,0.918333333,0,0,0,0,0,0,0,0,0,0,0,907719.1,5980.613333,24458.82,0,8073.73,3745.336667,14554.71333,0.807373
LCLC _27,2.41,20482.22,1344.55,0,0,356.0383333,25040.04667,0,34.11833333,19.32333333,44.36333333,0,0,15.51333333,169.9566667,5.08,38.71666667,0.98,0,0,0,0,0,0,0,0,1.155,0,0,887476.1483,7319.638333,29848.10167,0,7570.228333,4065.518333,16969.805,0.757022833
